idSesion,nivelEducativo,disciplina,fechaSesion,duracionMinutos,totalPrompts,tipoTarea,nivelAsistenciaIA,resultadoFinal,usoPosterior,satisfaccion
SESSION01773,Secundaria,Ciencias de la Computación,19/07/2024,23.7,10,Redacción,4,Idea desarrollada,Sí,3.6
SESSION01774,Pregrado,Historia,16/11/2024,39.16,8,Estudio,4,Abandonó,Sí,4.7
SESSION01775,Posgrado,Psicología,14/01/2025,27.39,6,Investigación,3,Idea desarrollada,Sí,4.5
SESSION01776,Pregrado,Matemáticas,15/07/2024,18.14,6,Redacción,3,Confundido,No,3.9
SESSION01777,Pregrado,Historia,16/02/2025,11.74,2,Investigación,5,Abandonó,No,4.4
SESSION01778,Secundaria,Ingeniería,02/03/2025,13.33,2,Redacción,3,Idea desarrollada,Sí,2.4
SESSION01779,Pregrado,Ciencias de la Computación,10/10/2024,8.21,1,Programación,3,Tarea completada,Sí,5.0
SESSION01780,Pregrado,Ingeniería,25/07/2024,4.71,1,Programación,4,Confundido,Sí,5.0
SESSION01781,Pregrado,Ciencias de la Computación,15/10/2024,16.76,4,Programación,4,Tarea completada,No,3.5
SESSION01782,Pregrado,Historia,23/02/2025,27.55,11,Ayuda en tareas,4,Confundido,Sí,4.9
SESSION01783,Pregrado,Matemáticas,14/02/2025,30.7,9,Redacción,4,Tarea completada,No,4.1
SESSION01784,Posgrado,Psicología,22/07/2024,30.31,10,Lluvia de ideas,4,Tarea completada,Sí,5.0
SESSION01785,Posgrado,Matemáticas,23/05/2025,35.95,8,Redacción,4,Tarea completada,Sí,4.1
SESSION01786,Pregrado,Historia,06/04/2025,26.25,9,Ayuda en tareas,5,Confundido,No,5.0
SESSION01787,Pregrado,Matemáticas,26/10/2024,1.5,1,Redacción,3,Idea desarrollada,Sí,2.9
SESSION01788,Pregrado,Ciencias de la Computación,15/07/2024,27.38,5,Ayuda en tareas,4,Tarea completada,Sí,3.9
SESSION01789,Posgrado,Psicología,16/12/2024,25.27,10,Redacción,5,Tarea completada,Sí,4.0
SESSION01790,Pregrado,Matemáticas,29/11/2024,3.02,1,Programación,5,Tarea completada,Sí,5.0
SESSION01791,Pregrado,Biología,20/04/2025,44.81,16,Programación,4,Tarea completada,Sí,3.6
SESSION01792,Secundaria,Ingeniería,31/08/2024,10.63,3,Redacción,5,Idea desarrollada,Sí,5.0
SESSION01793,Pregrado,Ingeniería,25/05/2025,7.93,2,Ayuda en tareas,4,Confundido,No,3.3
SESSION01794,Pregrado,Negocios,23/02/2025,25.64,6,Investigación,1,Idea desarrollada,Sí,1.0
SESSION01795,Secundaria,Biología,12/01/2025,15.22,3,Redacción,3,Tarea completada,Sí,4.7
SESSION01796,Secundaria,Ciencias de la Computación,08/09/2024,21.49,6,Redacción,4,Idea desarrollada,Sí,3.8
SESSION01797,Pregrado,Psicología,28/05/2025,17.2,4,Redacción,5,Tarea completada,Sí,5.0
SESSION01798,Secundaria,Matemáticas,05/02/2025,14.45,6,Redacción,5,Tarea completada,Sí,5.0
SESSION01799,Pregrado,Biología,13/12/2024,23.24,4,Ayuda en tareas,3,Idea desarrollada,Sí,4.4
SESSION01800,Pregrado,Ingeniería,28/02/2025,32.18,13,Redacción,4,Tarea completada,No,5.0
SESSION01801,Secundaria,Ciencias de la Computación,30/11/2024,55.33,11,Estudio,3,Confundido,Sí,3.9
SESSION01802,Pregrado,Historia,22/02/2025,51.11,21,Redacción,5,Idea desarrollada,Sí,4.5
SESSION01803,Pregrado,Matemáticas,18/08/2024,25.28,7,Redacción,3,Idea desarrollada,Sí,2.2
SESSION01804,Pregrado,Ciencias de la Computación,13/07/2024,50.67,24,Lluvia de ideas,4,Abandonó,No,2.7
SESSION01805,Pregrado,Ciencias de la Computación,03/04/2025,5.18,1,Ayuda en tareas,2,Abandonó,Sí,1.0
SESSION01806,Secundaria,Negocios,14/11/2024,20.02,5,Redacción,4,Tarea completada,Sí,3.8
SESSION01807,Pregrado,Ingeniería,17/09/2024,11.0,4,Ayuda en tareas,2,Confundido,No,1.9
SESSION01808,Posgrado,Matemáticas,26/02/2025,40.35,8,Programación,2,Tarea completada,Sí,3.3
SESSION01809,Pregrado,Psicología,10/10/2024,16.05,3,Redacción,3,Tarea completada,No,2.7
SESSION01810,Posgrado,Ingeniería,06/10/2024,8.07,3,Programación,5,Tarea completada,No,5.0
SESSION01811,Secundaria,Biología,30/06/2024,57.24,13,Redacción,2,Idea desarrollada,No,2.3
SESSION01812,Secundaria,Biología,06/06/2025,13.5,3,Redacción,2,Tarea completada,Sí,3.4
SESSION01813,Secundaria,Historia,02/01/2025,9.22,4,Programación,3,Tarea completada,No,2.9
SESSION01814,Pregrado,Historia,12/12/2024,19.23,7,Programación,3,Idea desarrollada,Sí,2.3
SESSION01815,Secundaria,Ciencias de la Computación,12/12/2024,7.58,2,Estudio,3,Tarea completada,Sí,3.9
SESSION01816,Posgrado,Psicología,11/02/2025,38.82,15,Programación,3,Tarea completada,Sí,4.2
SESSION01817,Posgrado,Ingeniería,11/10/2024,6.48,1,Redacción,2,Tarea completada,No,2.8
SESSION01818,Secundaria,Ciencias de la Computación,22/11/2024,28.63,7,Redacción,5,Idea desarrollada,Sí,5.0
SESSION01819,Secundaria,Psicología,26/08/2024,6.0,2,Lluvia de ideas,4,Idea desarrollada,Sí,4.4
SESSION01820,Pregrado,Matemáticas,16/07/2024,2.27,1,Estudio,5,Abandonó,No,5.0
SESSION01821,Posgrado,Ciencias de la Computación,28/03/2025,7.38,1,Estudio,3,Tarea completada,Sí,3.3
SESSION01822,Posgrado,Negocios,15/12/2024,18.54,5,Redacción,3,Tarea completada,Sí,2.4
SESSION01823,Pregrado,Biología,02/06/2025,3.47,1,Redacción,3,Idea desarrollada,Sí,3.5
SESSION01824,Secundaria,Biología,17/08/2024,17.08,6,Redacción,2,Tarea completada,No,1.8
SESSION01825,Secundaria,Historia,01/04/2025,28.19,6,Lluvia de ideas,3,Idea desarrollada,Sí,3.1
SESSION01826,Posgrado,Psicología,27/11/2024,7.75,2,Programación,4,Tarea completada,Sí,3.4
SESSION01827,Pregrado,Matemáticas,16/04/2025,14.43,4,Redacción,5,Confundido,No,5.0
SESSION01828,Pregrado,Historia,25/05/2025,11.46,5,Programación,3,Tarea completada,Sí,3.9
SESSION01829,Pregrado,Ingeniería,30/11/2024,5.33,2,Redacción,4,Tarea completada,Sí,4.7
SESSION01830,Pregrado,Matemáticas,11/03/2025,33.86,14,Redacción,3,Tarea completada,Sí,2.8
SESSION01831,Pregrado,Ciencias de la Computación,13/08/2024,40.5,8,Redacción,3,Idea desarrollada,No,2.7
SESSION01832,Pregrado,Psicología,10/02/2025,7.78,3,Redacción,5,Tarea completada,Sí,4.2
SESSION01833,Pregrado,Biología,16/08/2024,2.18,1,Ayuda en tareas,5,Confundido,No,4.9
SESSION01834,Pregrado,Psicología,04/11/2024,13.73,3,Ayuda en tareas,5,Idea desarrollada,Sí,4.1
SESSION01835,Secundaria,Matemáticas,01/07/2024,17.38,3,Redacción,3,Idea desarrollada,Sí,2.3
SESSION01836,Posgrado,Ciencias de la Computación,25/01/2025,36.77,8,Estudio,2,Tarea completada,Sí,1.0
SESSION01837,Pregrado,Negocios,30/04/2025,5.02,1,Estudio,3,Idea desarrollada,Sí,3.3
SESSION01838,Pregrado,Negocios,29/07/2024,30.29,12,Redacción,2,Tarea completada,No,1.4
SESSION01839,Posgrado,Matemáticas,09/04/2025,3.81,1,Estudio,4,Confundido,No,4.6
SESSION01840,Pregrado,Psicología,28/05/2025,30.73,13,Estudio,2,Tarea completada,No,1.5
SESSION01841,Pregrado,Historia,01/01/2025,48.9,14,Redacción,5,Idea desarrollada,Sí,5.0
SESSION01842,Pregrado,Ciencias de la Computación,01/04/2025,54.85,12,Ayuda en tareas,5,Tarea completada,Sí,4.2
SESSION01843,Pregrado,Biología,21/02/2025,18.2,4,Ayuda en tareas,4,Abandonó,No,2.6
SESSION01844,Posgrado,Historia,10/05/2025,1.57,1,Redacción,3,Tarea completada,Sí,2.6
SESSION01845,Pregrado,Matemáticas,25/12/2024,21.34,6,Estudio,1,Tarea completada,Sí,1.0
SESSION01846,Secundaria,Biología,17/06/2025,21.32,7,Estudio,4,Tarea completada,Sí,3.8
SESSION01847,Secundaria,Historia,20/11/2024,1.43,1,Redacción,4,Idea desarrollada,Sí,5.0
SESSION01848,Posgrado,Biología,17/06/2025,9.66,1,Ayuda en tareas,5,Tarea completada,Sí,4.8
SESSION01849,Posgrado,Negocios,12/07/2024,19.5,9,Estudio,2,Tarea completada,Sí,2.6
SESSION01850,Pregrado,Ciencias de la Computación,25/08/2024,53.78,13,Lluvia de ideas,4,Idea desarrollada,Sí,4.2
SESSION01851,Pregrado,Biología,29/01/2025,28.86,7,Programación,5,Confundido,Sí,4.9
SESSION01852,Secundaria,Ciencias de la Computación,22/03/2025,44.54,12,Programación,3,Idea desarrollada,Sí,1.8
SESSION01853,Posgrado,Historia,21/06/2025,33.14,12,Redacción,3,Tarea completada,Sí,2.4
SESSION01854,Secundaria,Historia,12/02/2025,27.85,7,Redacción,4,Idea desarrollada,Sí,3.9
SESSION01855,Posgrado,Biología,19/07/2024,29.93,6,Ayuda en tareas,3,Abandonó,No,2.8
SESSION01856,Posgrado,Ingeniería,18/04/2025,6.76,1,Programación,4,Tarea completada,Sí,4.4
SESSION01857,Pregrado,Matemáticas,22/04/2025,0.75,1,Redacción,4,Tarea completada,No,4.3
SESSION01858,Pregrado,Negocios,04/10/2024,13.85,3,Ayuda en tareas,4,Idea desarrollada,Sí,5.0
SESSION01859,Secundaria,Biología,02/07/2024,3.24,1,Estudio,5,Tarea completada,Sí,5.0
SESSION01860,Pregrado,Ciencias de la Computación,25/11/2024,16.23,5,Estudio,3,Tarea completada,Sí,3.8
SESSION01861,Posgrado,Biología,22/06/2025,13.03,3,Redacción,3,Tarea completada,Sí,4.0
SESSION01862,Pregrado,Matemáticas,13/01/2025,20.14,8,Redacción,3,Tarea completada,Sí,3.0
SESSION01863,Pregrado,Psicología,13/03/2025,8.98,2,Ayuda en tareas,1,Tarea completada,Sí,1.0
SESSION01864,Posgrado,Ciencias de la Computación,17/01/2025,40.03,10,Programación,3,Abandonó,No,2.5
SESSION01865,Pregrado,Historia,04/10/2024,32.1,15,Programación,2,Tarea completada,Sí,2.2
SESSION01866,Pregrado,Biología,20/07/2024,14.87,3,Redacción,4,Idea desarrollada,No,5.0
SESSION01867,Posgrado,Ciencias de la Computación,07/09/2024,24.25,5,Programación,3,Tarea completada,Sí,2.3
SESSION01868,Pregrado,Ciencias de la Computación,09/09/2024,22.69,7,Ayuda en tareas,3,Tarea completada,Sí,3.7
SESSION01869,Posgrado,Matemáticas,10/09/2024,3.8,1,Estudio,2,Confundido,No,2.4
SESSION01870,Posgrado,Ciencias de la Computación,17/12/2024,27.48,10,Redacción,5,Idea desarrollada,No,4.6
SESSION01871,Secundaria,Matemáticas,22/09/2024,16.56,3,Programación,4,Tarea completada,Sí,4.4
SESSION01872,Secundaria,Psicología,28/07/2024,18.66,5,Redacción,2,Idea desarrollada,Sí,3.6
SESSION01873,Pregrado,Negocios,22/06/2025,35.22,7,Estudio,4,Tarea completada,No,3.4
SESSION01874,Pregrado,Biología,14/08/2024,21.0,7,Redacción,2,Tarea completada,Sí,1.4
SESSION01875,Secundaria,Ciencias de la Computación,20/06/2025,14.65,4,Programación,2,Tarea completada,Sí,1.3
SESSION01876,Secundaria,Biología,24/10/2024,9.77,2,Programación,2,Tarea completada,No,3.1
SESSION01877,Pregrado,Psicología,09/11/2024,19.24,8,Redacción,4,Idea desarrollada,Sí,2.2
SESSION01878,Secundaria,Matemáticas,28/03/2025,9.39,2,Redacción,3,Tarea completada,Sí,3.9
SESSION01879,Secundaria,Historia,20/06/2025,14.07,4,Lluvia de ideas,4,Idea desarrollada,Sí,4.5
SESSION01880,Pregrado,Ingeniería,29/08/2024,10.0,4,Programación,4,Tarea completada,Sí,3.9
SESSION01881,Pregrado,Matemáticas,10/09/2024,29.85,8,Redacción,2,Idea desarrollada,Sí,1.6
SESSION01882,Pregrado,Ciencias de la Computación,04/11/2024,21.79,10,Redacción,3,Tarea completada,No,2.0
SESSION01883,Pregrado,Matemáticas,14/06/2025,26.33,5,Estudio,2,Tarea completada,Sí,3.2
SESSION01884,Pregrado,Ingeniería,26/11/2024,17.23,7,Redacción,4,Idea desarrollada,Sí,4.8
SESSION01885,Secundaria,Historia,05/08/2024,40.78,15,Redacción,3,Abandonó,No,1.4
SESSION01886,Pregrado,Psicología,22/12/2024,13.43,6,Programación,2,Tarea completada,Sí,1.9
SESSION01887,Pregrado,Biología,21/01/2025,23.41,6,Programación,2,Idea desarrollada,Sí,1.0
SESSION01888,Pregrado,Ingeniería,19/06/2025,76.29,25,Ayuda en tareas,5,Idea desarrollada,Sí,4.7
SESSION01889,Secundaria,Negocios,24/07/2024,15.67,3,Redacción,4,Confundido,No,3.5
SESSION01890,Pregrado,Negocios,21/12/2024,54.58,19,Ayuda en tareas,4,Abandonó,No,3.7
SESSION01891,Pregrado,Psicología,28/06/2024,17.73,4,Estudio,2,Tarea completada,No,1.4
SESSION01892,Pregrado,Matemáticas,11/09/2024,17.05,7,Redacción,3,Tarea completada,Sí,3.6
SESSION01893,Pregrado,Ciencias de la Computación,19/05/2025,8.68,3,Programación,4,Tarea completada,Sí,4.4
SESSION01894,Pregrado,Matemáticas,08/06/2025,18.16,3,Redacción,5,Tarea completada,Sí,5.0
SESSION01895,Pregrado,Biología,11/06/2025,17.83,3,Programación,3,Confundido,Sí,3.2
SESSION01896,Pregrado,Biología,26/08/2024,16.51,6,Ayuda en tareas,4,Confundido,Sí,4.5
SESSION01897,Pregrado,Psicología,14/03/2025,25.8,11,Lluvia de ideas,4,Tarea completada,Sí,4.1
SESSION01898,Secundaria,Historia,02/08/2024,16.96,4,Redacción,2,Idea desarrollada,Sí,2.1
SESSION01899,Posgrado,Ingeniería,24/07/2024,36.64,16,Ayuda en tareas,4,Confundido,Sí,5.0
SESSION01900,Pregrado,Ciencias de la Computación,13/02/2025,24.8,5,Lluvia de ideas,3,Idea desarrollada,Sí,4.1
SESSION01901,Posgrado,Ciencias de la Computación,26/08/2024,12.36,3,Ayuda en tareas,4,Tarea completada,No,4.1
SESSION01902,Pregrado,Negocios,24/06/2024,14.58,3,Estudio,4,Tarea completada,Sí,5.0
SESSION01903,Pregrado,Ingeniería,18/11/2024,8.81,2,Redacción,3,Idea desarrollada,Sí,1.4
SESSION01904,Posgrado,Psicología,06/08/2024,27.99,7,Redacción,4,Idea desarrollada,Sí,3.2
SESSION01905,Pregrado,Psicología,17/09/2024,10.25,3,Redacción,3,Tarea completada,Sí,2.6
SESSION01906,Pregrado,Historia,11/04/2025,19.39,7,Redacción,5,Tarea completada,Sí,5.0
SESSION01907,Pregrado,Matemáticas,04/12/2024,19.47,4,Redacción,1,Confundido,No,1.5
SESSION01908,Secundaria,Biología,24/09/2024,8.11,1,Lluvia de ideas,3,Confundido,No,3.4
SESSION01909,Pregrado,Negocios,10/05/2025,7.11,2,Redacción,5,Idea desarrollada,No,5.0
SESSION01910,Secundaria,Biología,09/01/2025,7.62,2,Ayuda en tareas,5,Tarea completada,Sí,4.5
SESSION01911,Secundaria,Ingeniería,11/03/2025,19.88,6,Programación,3,Idea desarrollada,Sí,3.5
SESSION01912,Secundaria,Psicología,25/10/2024,50.57,21,Redacción,1,Idea desarrollada,No,1.0
SESSION01913,Posgrado,Biología,14/08/2024,4.67,1,Programación,3,Tarea completada,Sí,4.5
SESSION01914,Secundaria,Negocios,22/12/2024,36.43,7,Programación,5,Tarea completada,Sí,5.0
SESSION01915,Pregrado,Ciencias de la Computación,02/01/2025,8.09,3,Programación,5,Tarea completada,Sí,5.0
SESSION01916,Posgrado,Ingeniería,22/01/2025,8.31,3,Redacción,5,Idea desarrollada,Sí,3.6
SESSION01917,Pregrado,Biología,01/02/2025,24.35,10,Redacción,5,Idea desarrollada,Sí,3.9
SESSION01918,Secundaria,Historia,04/11/2024,3.89,1,Programación,4,Abandonó,No,4.4
SESSION01919,Pregrado,Biología,17/11/2024,11.89,2,Estudio,4,Tarea completada,Sí,4.1
SESSION01920,Pregrado,Ingeniería,10/08/2024,40.07,8,Redacción,3,Abandonó,Sí,3.5
SESSION01921,Pregrado,Negocios,05/09/2024,20.08,4,Programación,4,Tarea completada,Sí,5.0
SESSION01922,Secundaria,Historia,16/09/2024,17.76,6,Estudio,4,Confundido,No,4.2
SESSION01923,Pregrado,Ciencias de la Computación,14/12/2024,11.36,2,Redacción,5,Idea desarrollada,Sí,4.9
SESSION01924,Secundaria,Ciencias de la Computación,22/07/2024,30.21,7,Redacción,4,Idea desarrollada,No,4.1
SESSION01925,Pregrado,Biología,05/06/2025,20.11,5,Redacción,3,Tarea completada,No,2.6
SESSION01926,Secundaria,Biología,10/03/2025,15.87,3,Redacción,4,Idea desarrollada,Sí,3.5
SESSION01927,Secundaria,Biología,21/01/2025,43.7,12,Redacción,2,Tarea completada,Sí,1.0
SESSION01928,Pregrado,Psicología,17/10/2024,19.27,4,Ayuda en tareas,5,Tarea completada,Sí,4.2
SESSION01929,Pregrado,Negocios,21/10/2024,18.98,5,Redacción,2,Idea desarrollada,Sí,1.5
SESSION01930,Pregrado,Matemáticas,04/10/2024,27.72,8,Estudio,3,Confundido,No,1.7
SESSION01931,Secundaria,Ciencias de la Computación,09/02/2025,24.14,6,Estudio,2,Confundido,No,1.3
SESSION01932,Pregrado,Negocios,13/07/2024,18.81,3,Estudio,5,Tarea completada,Sí,4.9
SESSION01933,Pregrado,Biología,01/04/2025,10.22,3,Redacción,3,Abandonó,Sí,4.0
SESSION01934,Secundaria,Biología,28/08/2024,3.84,1,Ayuda en tareas,4,Abandonó,Sí,4.0
SESSION01935,Pregrado,Biología,25/05/2025,7.09,2,Redacción,1,Tarea completada,No,1.3
SESSION01936,Secundaria,Matemáticas,03/02/2025,7.54,2,Estudio,4,Idea desarrollada,Sí,4.2
SESSION01937,Secundaria,Historia,27/10/2024,11.11,2,Investigación,4,Tarea completada,No,4.5
SESSION01938,Posgrado,Psicología,12/07/2024,18.52,5,Estudio,5,Tarea completada,Sí,3.5
SESSION01939,Secundaria,Ingeniería,17/08/2024,15.15,4,Redacción,3,Tarea completada,Sí,3.2
SESSION01940,Secundaria,Historia,25/05/2025,24.05,10,Estudio,3,Idea desarrollada,Sí,2.4
SESSION01941,Pregrado,Ingeniería,24/11/2024,6.82,2,Estudio,4,Tarea completada,No,3.8
SESSION01942,Pregrado,Negocios,16/10/2024,36.07,9,Redacción,4,Tarea completada,Sí,5.0
SESSION01943,Pregrado,Biología,08/01/2025,8.13,1,Programación,1,Tarea completada,Sí,1.4
SESSION01944,Pregrado,Psicología,10/07/2024,8.5,1,Programación,3,Tarea completada,Sí,3.7
SESSION01945,Secundaria,Psicología,07/05/2025,5.81,2,Programación,4,Idea desarrollada,Sí,2.9
SESSION01946,Secundaria,Historia,30/07/2024,20.85,5,Estudio,3,Confundido,No,3.2
SESSION01947,Posgrado,Negocios,08/12/2024,11.11,3,Redacción,3,Idea desarrollada,No,3.3
SESSION01948,Pregrado,Biología,08/10/2024,3.49,1,Programación,3,Confundido,No,2.3
SESSION01949,Posgrado,Ingeniería,12/10/2024,23.83,5,Programación,1,Tarea completada,Sí,1.0
SESSION01950,Secundaria,Biología,14/07/2024,10.05,4,Estudio,4,Tarea completada,No,3.4
SESSION01951,Pregrado,Matemáticas,23/09/2024,17.22,6,Investigación,5,Tarea completada,Sí,4.2
SESSION01952,Posgrado,Biología,16/12/2024,21.17,4,Redacción,4,Idea desarrollada,No,4.4
SESSION01953,Pregrado,Ingeniería,11/09/2024,12.34,4,Redacción,4,Idea desarrollada,Sí,4.1
SESSION01954,Secundaria,Historia,15/03/2025,23.77,6,Redacción,4,Idea desarrollada,Sí,3.7
SESSION01955,Posgrado,Historia,29/09/2024,29.03,14,Programación,5,Tarea completada,No,4.0
SESSION01956,Pregrado,Matemáticas,13/05/2025,11.44,4,Redacción,3,Abandonó,No,2.7
SESSION01957,Pregrado,Biología,02/08/2024,29.03,7,Redacción,3,Idea desarrollada,Sí,3.0
SESSION01958,Pregrado,Negocios,25/11/2024,21.93,4,Estudio,2,Tarea completada,Sí,2.2
SESSION01959,Pregrado,Psicología,23/12/2024,39.21,8,Redacción,2,Tarea completada,Sí,1.4
SESSION01960,Pregrado,Matemáticas,17/01/2025,32.52,11,Programación,5,Idea desarrollada,Sí,5.0
SESSION01961,Secundaria,Psicología,05/08/2024,5.93,1,Programación,4,Tarea completada,Sí,1.7
SESSION01962,Pregrado,Biología,19/06/2025,7.39,1,Investigación,4,Idea desarrollada,No,2.6
SESSION01963,Pregrado,Psicología,18/08/2024,42.48,15,Ayuda en tareas,3,Idea desarrollada,Sí,3.6
SESSION01964,Pregrado,Ingeniería,10/06/2025,24.44,5,Estudio,3,Confundido,No,3.1
SESSION01965,Pregrado,Ingeniería,20/12/2024,8.21,3,Investigación,5,Tarea completada,Sí,5.0
SESSION01966,Secundaria,Psicología,07/04/2025,9.05,2,Programación,3,Idea desarrollada,Sí,3.3
SESSION01967,Pregrado,Matemáticas,27/04/2025,14.05,3,Redacción,3,Tarea completada,Sí,3.3
SESSION01968,Pregrado,Matemáticas,04/01/2025,13.7,3,Ayuda en tareas,3,Tarea completada,No,3.4
SESSION01969,Pregrado,Historia,10/03/2025,21.09,7,Programación,5,Abandonó,No,5.0
SESSION01970,Posgrado,Historia,09/01/2025,28.52,12,Redacción,5,Idea desarrollada,Sí,4.8
SESSION01971,Pregrado,Historia,29/08/2024,20.1,5,Redacción,4,Tarea completada,Sí,3.1
SESSION01972,Pregrado,Historia,14/06/2025,50.24,18,Programación,4,Idea desarrollada,Sí,4.1
SESSION01973,Secundaria,Negocios,04/09/2024,17.16,6,Estudio,3,Idea desarrollada,Sí,4.8
SESSION01974,Pregrado,Ingeniería,23/07/2024,23.29,4,Programación,3,Tarea completada,Sí,2.3
SESSION01975,Posgrado,Ingeniería,29/06/2024,17.81,4,Investigación,4,Tarea completada,Sí,5.0
SESSION01976,Pregrado,Matemáticas,13/05/2025,12.19,2,Redacción,5,Idea desarrollada,Sí,5.0
SESSION01977,Pregrado,Ingeniería,25/08/2024,3.72,1,Redacción,3,Tarea completada,Sí,1.7
SESSION01978,Posgrado,Psicología,27/02/2025,20.55,5,Investigación,4,Idea desarrollada,Sí,3.7
SESSION01979,Secundaria,Ingeniería,29/07/2024,27.98,5,Redacción,4,Tarea completada,No,3.0
SESSION01980,Secundaria,Ingeniería,31/05/2025,15.08,6,Redacción,3,Tarea completada,Sí,5.0
SESSION01981,Pregrado,Ciencias de la Computación,31/12/2024,25.36,6,Ayuda en tareas,3,Tarea completada,Sí,2.4
SESSION01982,Pregrado,Negocios,06/06/2025,41.3,10,Ayuda en tareas,5,Tarea completada,Sí,5.0
SESSION01983,Pregrado,Historia,08/05/2025,33.95,9,Ayuda en tareas,3,Abandonó,No,5.0
SESSION01984,Pregrado,Matemáticas,07/02/2025,42.41,20,Investigación,3,Idea desarrollada,Sí,3.3
SESSION01985,Secundaria,Negocios,18/01/2025,14.46,6,Estudio,3,Idea desarrollada,Sí,3.5
SESSION01986,Secundaria,Psicología,11/05/2025,58.8,20,Redacción,2,Idea desarrollada,Sí,1.9
SESSION01987,Pregrado,Ingeniería,02/09/2024,17.6,6,Estudio,4,Idea desarrollada,Sí,4.0
SESSION01988,Secundaria,Psicología,02/08/2024,25.62,9,Programación,5,Tarea completada,No,3.8
SESSION01989,Posgrado,Ingeniería,22/02/2025,8.08,2,Estudio,5,Abandonó,Sí,5.0
SESSION01990,Pregrado,Biología,07/09/2024,18.28,3,Ayuda en tareas,3,Tarea completada,No,2.5
SESSION01991,Pregrado,Historia,03/10/2024,20.7,5,Ayuda en tareas,4,Idea desarrollada,Sí,2.5
SESSION01992,Pregrado,Matemáticas,11/01/2025,15.18,3,Ayuda en tareas,5,Tarea completada,Sí,5.0
SESSION01993,Pregrado,Ingeniería,20/06/2025,9.42,4,Redacción,4,Idea desarrollada,Sí,3.9
SESSION01994,Pregrado,Historia,04/12/2024,13.4,3,Redacción,3,Tarea completada,Sí,3.9
SESSION01995,Pregrado,Biología,29/08/2024,15.1,4,Programación,3,Tarea completada,Sí,5.0
SESSION01996,Posgrado,Biología,01/02/2025,20.73,5,Programación,3,Tarea completada,No,3.9
SESSION01997,Pregrado,Ciencias de la Computación,22/01/2025,14.7,3,Estudio,5,Confundido,No,5.0
SESSION01998,Pregrado,Historia,03/11/2024,26.95,7,Ayuda en tareas,4,Tarea completada,Sí,4.3
SESSION01999,Posgrado,Ingeniería,05/04/2025,35.91,10,Redacción,4,Abandonó,No,3.9
SESSION02000,Pregrado,Matemáticas,12/05/2025,17.07,3,Redacción,4,Confundido,No,5.0
SESSION02001,Pregrado,Biología,31/12/2024,18.0,3,Estudio,5,Tarea completada,Sí,5.0
SESSION02002,Pregrado,Negocios,24/04/2025,82.34,38,Estudio,4,Confundido,No,4.9
SESSION02003,Pregrado,Ingeniería,03/04/2025,13.36,3,Programación,5,Tarea completada,Sí,4.2
SESSION02004,Pregrado,Historia,17/03/2025,15.74,3,Lluvia de ideas,3,Idea desarrollada,Sí,2.6
SESSION02005,Pregrado,Ciencias de la Computación,14/02/2025,5.72,1,Programación,3,Idea desarrollada,Sí,1.5
SESSION02006,Secundaria,Historia,11/12/2024,9.09,2,Ayuda en tareas,5,Tarea completada,Sí,5.0
SESSION02007,Pregrado,Negocios,22/09/2024,4.72,2,Programación,4,Tarea completada,Sí,3.2
SESSION02008,Pregrado,Ingeniería,14/04/2025,17.28,4,Estudio,3,Idea desarrollada,Sí,2.6
SESSION02009,Pregrado,Ciencias de la Computación,06/12/2024,13.75,2,Redacción,3,Tarea completada,Sí,2.4
SESSION02010,Secundaria,Biología,26/05/2025,7.48,1,Redacción,3,Abandonó,Sí,1.1
SESSION02011,Pregrado,Historia,10/05/2025,11.81,3,Ayuda en tareas,2,Tarea completada,Sí,2.3
SESSION02012,Pregrado,Ciencias de la Computación,21/09/2024,9.91,4,Redacción,4,Idea desarrollada,Sí,4.2
SESSION02013,Pregrado,Negocios,29/05/2025,17.11,6,Estudio,4,Tarea completada,Sí,3.7
SESSION02014,Pregrado,Ingeniería,09/05/2025,12.52,5,Ayuda en tareas,4,Idea desarrollada,No,4.5
SESSION02015,Secundaria,Psicología,19/01/2025,3.05,1,Redacción,4,Idea desarrollada,No,4.6
SESSION02016,Pregrado,Biología,26/09/2024,11.29,3,Lluvia de ideas,3,Tarea completada,Sí,3.0
SESSION02017,Pregrado,Ingeniería,30/05/2025,6.58,1,Programación,1,Confundido,No,1.3
SESSION02018,Pregrado,Ciencias de la Computación,07/08/2024,10.16,2,Redacción,3,Idea desarrollada,Sí,5.0
SESSION02019,Posgrado,Ingeniería,19/05/2025,13.25,3,Programación,3,Confundido,Sí,3.0
SESSION02020,Secundaria,Biología,10/01/2025,17.57,4,Ayuda en tareas,4,Tarea completada,Sí,3.0
SESSION02021,Pregrado,Ciencias de la Computación,31/08/2024,62.82,14,Programación,3,Abandonó,No,2.7
SESSION02022,Pregrado,Ingeniería,21/01/2025,46.88,18,Investigación,3,Confundido,Sí,2.4
SESSION02023,Pregrado,Matemáticas,15/03/2025,3.91,1,Estudio,4,Abandonó,No,4.8
SESSION02024,Posgrado,Matemáticas,25/10/2024,16.68,7,Programación,4,Tarea completada,Sí,4.9
SESSION02025,Pregrado,Historia,29/11/2024,21.41,4,Programación,4,Confundido,No,3.8
SESSION02026,Secundaria,Psicología,05/07/2024,25.83,10,Redacción,4,Confundido,Sí,4.1
SESSION02027,Posgrado,Negocios,02/11/2024,17.04,3,Redacción,3,Idea desarrollada,No,3.9
